"Saharan_dust.Fark_Max" "Saharan_dust.Fark_Min" "Saharan_dust.Abs_Total" "DATE" "MONTH" "YEAR" "FULLTIME"
"2" -3.5 -3 6.5 2 1 2008 "02.01.2008_00:00"
"3" -7 -0.700012 7.700012 3 1 2008 "03.01.2008_00:00"
"4" -6.800049 -0.599976 7.400025 4 1 2008 "04.01.2008_00:00"
"6" 0 0 0 6 1 2008 "06.01.2008_00:00"
"7" 0 0 0 7 1 2008 "07.01.2008_00:00"
"8" -0.200073 0 0.200073 8 1 2008 "08.01.2008_00:00"
"9" -0.700073 0 0.700073 9 1 2008 "09.01.2008_00:00"
"10" 0 0 0 10 1 2008 "10.01.2008_00:00"
"11" 0 0 0 11 1 2008 "11.01.2008_00:00"
"12" 0 0 0 12 1 2008 "12.01.2008_00:00"
"13" 0 -1.200012 1.200012 13 1 2008 "13.01.2008_00:00"
"14" 0 0 0 14 1 2008 "14.01.2008_00:00"
"15" -1.799927 0 1.799927 15 1 2008 "15.01.2008_00:00"
"17" -4.199951 0 4.199951 17 1 2008 "17.01.2008_00:00"
"18" -1.5 0 1.5 18 1 2008 "18.01.2008_00:00"
"19" 0 0 0 19 1 2008 "19.01.2008_00:00"
"20" 0 -2.599976 2.599976 20 1 2008 "20.01.2008_00:00"
"21" 0 -3.299988 3.299988 21 1 2008 "21.01.2008_00:00"
"22" -1.199951 -0.5 1.699951 22 1 2008 "22.01.2008_00:00"
"23" -1.900024 -17.700073 19.600097 23 1 2008 "23.01.2008_00:00"
"24" -8.900024 -16.800049 25.700073 24 1 2008 "24.01.2008_00:00"
"25" -0.800049 -6.900024 7.700073 25 1 2008 "25.01.2008_00:00"
"26" -2 -7.800049 9.800049 26 1 2008 "26.01.2008_00:00"
"27" 0 -9.800049 9.800049 27 1 2008 "27.01.2008_00:00"
"28" -5.5 -12.5 18 28 1 2008 "28.01.2008_00:00"
"29" -10.899963 -12.799927 23.69989 29 1 2008 "29.01.2008_00:00"
"30" -3.799927 0 3.799927 30 1 2008 "30.01.2008_00:00"
"31" 0 -0.399963 0.399963 31 1 2008 "31.01.2008_00:00"
"32" 0 0 0 1 2 2008 "01.02.2008_00:00"
"34" -0.700073 0 0.700073 3 2 2008 "03.02.2008_00:00"
"35" -0.699951 0 0.699951 4 2 2008 "04.02.2008_00:00"
"36" -0.5 0 0.5 5 2 2008 "05.02.2008_00:00"
"37" -0.800049 0 0.800049 6 2 2008 "06.02.2008_00:00"
"38" 0 -3.200012 3.200012 7 2 2008 "07.02.2008_00:00"
"39" -0.800049 -19.700073 20.500122 8 2 2008 "08.02.2008_00:00"
"40" -5 -17.499939 22.499939 9 2 2008 "09.02.2008_00:00"
"41" -6.400024 -14.299988 20.700012 10 2 2008 "10.02.2008_00:00"
"42" -11.199951 -9.300049 20.5 11 2 2008 "11.02.2008_00:00"
"43" -10.800049 -6.600037 17.400086 12 2 2008 "12.02.2008_00:00"
"44" -5.400024 -8.699951 14.099975 13 2 2008 "13.02.2008_00:00"
"45" -3.799927 -12.300049 16.099976 14 2 2008 "14.02.2008_00:00"
"46" 0 -10.100037 10.100037 15 2 2008 "15.02.2008_00:00"
"47" -6.199951 -19.700073 25.900024 16 2 2008 "16.02.2008_00:00"
"48" -16.699951 -20.799988 37.499939 17 2 2008 "17.02.2008_00:00"
"49" -7.399902 -5.300049 12.699951 18 2 2008 "18.02.2008_00:00"
"50" -0.199951 -3.900024 4.099975 19 2 2008 "19.02.2008_00:00"
"51" -0.5 0 0.5 20 2 2008 "20.02.2008_00:00"
"52" 0 0 0 21 2 2008 "21.02.2008_00:00"
"53" -0.599976 0 0.599976 22 2 2008 "22.02.2008_00:00"
"54" -0.300049 -2.200012 2.500061 23 2 2008 "23.02.2008_00:00"
"55" -0.199951 -0.5 0.699951 24 2 2008 "24.02.2008_00:00"
"56" 0 0 0 25 2 2008 "25.02.2008_00:00"
"57" 0 0 0 26 2 2008 "26.02.2008_00:00"
"58" 0 0 0 27 2 2008 "27.02.2008_00:00"
"59" -1.599976 -4.600037 6.200013 28 2 2008 "28.02.2008_00:00"
"60" -0.299927 0 0.299927 29 2 2008 "29.02.2008_00:00"
"61" 0 0 0 1 3 2008 "01.03.2008_00:00"
"62" -3 -9.600037 12.600037 2 3 2008 "02.03.2008_00:00"
"63" -3.099976 -5.200012 8.299988 3 3 2008 "03.03.2008_00:00"
"64" -2.099976 -3.200012 5.299988 4 3 2008 "04.03.2008_00:00"
"65" -3 -11.199951 14.199951 5 3 2008 "05.03.2008_00:00"
"66" -1.799988 -24.900024 26.700012 6 3 2008 "06.03.2008_00:00"
"67" -1.299927 -15.5 16.799927 7 3 2008 "07.03.2008_00:00"
"68" -5.999939 -3.900024 9.899963 8 3 2008 "08.03.2008_00:00"
"69" -4.400024 0 4.400024 9 3 2008 "09.03.2008_00:00"
"70" -1.299988 0 1.299988 10 3 2008 "10.03.2008_00:00"
"71" 0 0 0 11 3 2008 "11.03.2008_00:00"
"72" -1.600037 0 1.600037 12 3 2008 "12.03.2008_00:00"
"73" -4.399963 -3.200012 7.599975 13 3 2008 "13.03.2008_00:00"
"74" -2.699951 -1.100037 3.799988 14 3 2008 "14.03.2008_00:00"
"75" 0 -5.899963 5.899963 15 3 2008 "15.03.2008_00:00"
"76" -0.199951 0 0.199951 16 3 2008 "16.03.2008_00:00"
"77" -1.299988 -1 2.299988 17 3 2008 "17.03.2008_00:00"
"78" -1.5 -3 4.5 18 3 2008 "18.03.2008_00:00"
"79" -1.400024 -4.5 5.900024 19 3 2008 "19.03.2008_00:00"
"80" -0.799988 -4.599976 5.399964 20 3 2008 "20.03.2008_00:00"
"81" -3.599976 0 3.599976 21 3 2008 "21.03.2008_00:00"
"82" -5.5 0 5.5 22 3 2008 "22.03.2008_00:00"
"83" -3.600037 -1.099976 4.700013 23 3 2008 "23.03.2008_00:00"
"84" -3.400024 -3.299988 6.700012 24 3 2008 "24.03.2008_00:00"
"85" -4.899963 -5.300049 10.200012 25 3 2008 "25.03.2008_00:00"
"86" -3 -3.100037 6.100037 26 3 2008 "26.03.2008_00:00"
"87" 0 0 0 27 3 2008 "27.03.2008_00:00"
"88" -6.700012 -9.799988 16.5 28 3 2008 "28.03.2008_00:00"
"89" -10.599976 -7.200012 17.799988 29 3 2008 "29.03.2008_00:00"
"90" -6.600037 0 6.600037 30 3 2008 "30.03.2008_00:00"
"91" -3.799988 0 3.799988 31 3 2008 "31.03.2008_00:00"
"92" 0 -8.899963 8.899963 1 4 2008 "01.04.2008_00:00"
"93" -0.200012 -3.299988 3.5 2 4 2008 "02.04.2008_00:00"
"94" -2 -5 7 3 4 2008 "03.04.2008_00:00"
"95" -2.299988 -13.199951 15.499939 4 4 2008 "04.04.2008_00:00"
"96" -1.400024 -10 11.400024 5 4 2008 "05.04.2008_00:00"
"97" -4.299988 0 4.299988 6 4 2008 "06.04.2008_00:00"
"98" -3.800049 -1.199951 5 7 4 2008 "07.04.2008_00:00"
"99" -0.700012 -5.100037 5.800049 8 4 2008 "08.04.2008_00:00"
"100" -0.899963 -1.900024 2.799987 9 4 2008 "09.04.2008_00:00"
"101" -1.200012 0 1.200012 10 4 2008 "10.04.2008_00:00"
"102" 0 -0.599976 0.599976 11 4 2008 "11.04.2008_00:00"
"103" 0 0 0 12 4 2008 "12.04.2008_00:00"
"104" 0 -2.5 2.5 13 4 2008 "13.04.2008_00:00"
"105" 0 0 0 14 4 2008 "14.04.2008_00:00"
"106" -3.799988 -3.299988 7.099976 15 4 2008 "15.04.2008_00:00"
"107" -3.5 -5.900024 9.400024 16 4 2008 "16.04.2008_00:00"
"108" -1.400024 -5.299988 6.700012 17 4 2008 "17.04.2008_00:00"
"109" -2.299988 0 2.299988 18 4 2008 "18.04.2008_00:00"
"110" 0 0 0 19 4 2008 "19.04.2008_00:00"
"111" -0.200012 -2.400024 2.600036 20 4 2008 "20.04.2008_00:00"
"112" -1 0 1 21 4 2008 "21.04.2008_00:00"
"113" -0.799988 0 0.799988 22 4 2008 "22.04.2008_00:00"
"114" -1.5 -4.5 6 23 4 2008 "23.04.2008_00:00"
"115" -3.200012 -7.300049 10.500061 24 4 2008 "24.04.2008_00:00"
"116" -4.900024 -8.299988 13.200012 25 4 2008 "25.04.2008_00:00"
"117" -7.400024 -10.299988 17.700012 26 4 2008 "26.04.2008_00:00"
"118" -8.400024 -6.099976 14.5 27 4 2008 "27.04.2008_00:00"
"119" -1.199951 0 1.199951 28 4 2008 "28.04.2008_00:00"
"120" -1.400024 0 1.400024 29 4 2008 "29.04.2008_00:00"
"121" -0.700012 0 0.700012 30 4 2008 "30.04.2008_00:00"
"122" 0 0 0 1 5 2008 "01.05.2008_00:00"
"123" 0 -6.799988 6.799988 2 5 2008 "02.05.2008_00:00"
"124" -2 -8.099976 10.099976 3 5 2008 "03.05.2008_00:00"
"125" -2.799988 -8.100037 10.900025 4 5 2008 "04.05.2008_00:00"
"126" -4.400024 -7.200012 11.600036 5 5 2008 "05.05.2008_00:00"
"127" -2.600037 -6.200012 8.800049 6 5 2008 "06.05.2008_00:00"
"128" -1.100037 -10.5 11.600037 7 5 2008 "07.05.2008_00:00"
"129" -4 -9.799988 13.799988 8 5 2008 "08.05.2008_00:00"
"130" -0.400024 -11.799988 12.200012 9 5 2008 "09.05.2008_00:00"
"131" -2.200012 -10.800049 13.000061 10 5 2008 "10.05.2008_00:00"
"132" -1.899963 -8.100037 10 11 5 2008 "11.05.2008_00:00"
"133" -2 -4.799988 6.799988 12 5 2008 "12.05.2008_00:00"
"134" 0 -7.700012 7.700012 13 5 2008 "13.05.2008_00:00"
"135" -0.199951 -3.800049 4 14 5 2008 "14.05.2008_00:00"
"136" -4 0 4 15 5 2008 "15.05.2008_00:00"
"137" -0.299988 0 0.299988 16 5 2008 "16.05.2008_00:00"
"138" 0 -1.599976 1.599976 17 5 2008 "17.05.2008_00:00"
"139" -0.5 -1.200012 1.700012 18 5 2008 "18.05.2008_00:00"
"140" -0.300049 -2.5 2.800049 19 5 2008 "19.05.2008_00:00"
"141" 0 -10.299988 10.299988 20 5 2008 "20.05.2008_00:00"
"142" -1.099976 -7.100037 8.200013 21 5 2008 "21.05.2008_00:00"
"143" -2.900024 -3.5 6.400024 22 5 2008 "22.05.2008_00:00"
"144" -2.200012 -3.900024 6.100036 23 5 2008 "23.05.2008_00:00"
"145" -0.5 -1.299988 1.799988 24 5 2008 "24.05.2008_00:00"
"146" -1.799988 0 1.799988 25 5 2008 "25.05.2008_00:00"
"147" 0 -1.299988 1.299988 26 5 2008 "26.05.2008_00:00"
"148" -0.799988 -6.5 7.299988 27 5 2008 "27.05.2008_00:00"
"149" 0 0 0 28 5 2008 "28.05.2008_00:00"
"150" -3.299988 -4.900024 8.200012 29 5 2008 "29.05.2008_00:00"
"151" -0.200012 0 0.200012 30 5 2008 "30.05.2008_00:00"
"152" 0 0 0 31 5 2008 "31.05.2008_00:00"
"153" 0 -3.599976 3.599976 1 6 2008 "01.06.2008_00:00"
"154" -4.799988 -4.299988 9.099976 2 6 2008 "02.06.2008_00:00"
"155" -3.600037 -3.399963 7 3 6 2008 "03.06.2008_00:00"
"156" -1.200012 -1.900024 3.100036 4 6 2008 "04.06.2008_00:00"
"157" -1 -0.399963 1.399963 5 6 2008 "05.06.2008_00:00"
"158" -0.799988 -0.200012 1 6 6 2008 "06.06.2008_00:00"
"159" -1.599976 -1.200012 2.799988 7 6 2008 "07.06.2008_00:00"
"160" -0.299988 -7.099976 7.399964 8 6 2008 "08.06.2008_00:00"
"161" -2.299988 -10.200012 12.5 9 6 2008 "09.06.2008_00:00"
"162" -3.600037 -7.799988 11.400025 10 6 2008 "10.06.2008_00:00"
"163" -1.099976 -2.299988 3.399964 11 6 2008 "11.06.2008_00:00"
"164" 0 -1.900024 1.900024 12 6 2008 "12.06.2008_00:00"
"165" -0.200012 -0.700012 0.900024 13 6 2008 "13.06.2008_00:00"
"166" -0.099976 -6.099976 6.199952 14 6 2008 "14.06.2008_00:00"
"167" -2.299988 -4 6.299988 15 6 2008 "15.06.2008_00:00"
"168" -1.400024 -1 2.400024 16 6 2008 "16.06.2008_00:00"
"169" 0 -2.900024 2.900024 17 6 2008 "17.06.2008_00:00"
"170" 0 -5.599976 5.599976 18 6 2008 "18.06.2008_00:00"
"171" 0 0 0 19 6 2008 "19.06.2008_00:00"
"172" -2.700012 -5.900024 8.600036 20 6 2008 "20.06.2008_00:00"
"173" -3 -8.799988 11.799988 21 6 2008 "21.06.2008_00:00"
"174" -1.400024 -0.799988 2.200012 22 6 2008 "22.06.2008_00:00"
"175" -0.299988 0 0.299988 23 6 2008 "23.06.2008_00:00"
"176" 0 -4.099976 4.099976 24 6 2008 "24.06.2008_00:00"
"177" 0 -2 2 25 6 2008 "25.06.2008_00:00"
"178" -0.600037 -3.5 4.100037 26 6 2008 "26.06.2008_00:00"
"179" -1.5 -7.100037 8.600037 27 6 2008 "27.06.2008_00:00"
"180" -1.5 -8.299988 9.799988 28 6 2008 "28.06.2008_00:00"
"181" -3.099976 -7 10.099976 29 6 2008 "29.06.2008_00:00"
"182" -0.5 -1.799988 2.299988 30 6 2008 "30.06.2008_00:00"
"183" -0.200012 -4.600037 4.800049 1 7 2008 "01.07.2008_00:00"
"184" -1.200012 0 1.200012 2 7 2008 "02.07.2008_00:00"
"185" -2.5 0 2.5 3 7 2008 "03.07.2008_00:00"
"186" -0.299988 0 0.299988 4 7 2008 "04.07.2008_00:00"
"187" -0.099976 -3.400024 3.5 5 7 2008 "05.07.2008_00:00"
"188" 0 -1.800049 1.800049 6 7 2008 "06.07.2008_00:00"
"189" 0 0 0 7 7 2008 "07.07.2008_00:00"
"190" -0.200012 -0.599976 0.799988 8 7 2008 "08.07.2008_00:00"
"191" 0 -4.700012 4.700012 9 7 2008 "09.07.2008_00:00"
"192" -2.299988 -1.599976 3.899964 10 7 2008 "10.07.2008_00:00"
"193" -1.399963 0 1.399963 11 7 2008 "11.07.2008_00:00"
"194" -2.600037 0 2.600037 12 7 2008 "12.07.2008_00:00"
"195" -2.899963 -4.5 7.399963 13 7 2008 "13.07.2008_00:00"
"196" -0.5 -2.5 3 14 7 2008 "14.07.2008_00:00"
"197" 0 -6.699951 6.699951 15 7 2008 "15.07.2008_00:00"
"198" -5 -11.400024 16.400024 16 7 2008 "16.07.2008_00:00"
"199" -2.200012 -2.799988 5 17 7 2008 "17.07.2008_00:00"
"200" 0 -2 2 18 7 2008 "18.07.2008_00:00"
"201" 0 -0.700012 0.700012 19 7 2008 "19.07.2008_00:00"
"202" -2.299988 0 2.299988 20 7 2008 "20.07.2008_00:00"
"203" -0.700012 -1.200012 1.900024 21 7 2008 "21.07.2008_00:00"
"204" -1.299988 -8.799988 10.099976 22 7 2008 "22.07.2008_00:00"
"205" -0.100037 -11.099976 11.200013 23 7 2008 "23.07.2008_00:00"
"206" -3.299988 -5.700012 9 24 7 2008 "24.07.2008_00:00"
"207" -3.600037 -3 6.600037 25 7 2008 "25.07.2008_00:00"
"208" -2.700012 -4 6.700012 26 7 2008 "26.07.2008_00:00"
"209" -2.099976 -4.100037 6.200013 27 7 2008 "27.07.2008_00:00"
"210" -2.399963 -7 9.399963 28 7 2008 "28.07.2008_00:00"
"211" -4 -1.699951 5.699951 29 7 2008 "29.07.2008_00:00"
"212" -2.299988 -5.600037 7.900025 30 7 2008 "30.07.2008_00:00"
"213" -2.5 -3.400024 5.900024 31 7 2008 "31.07.2008_00:00"
"214" -3.099976 0 3.099976 1 8 2008 "01.08.2008_00:00"
"215" -3.299988 -3.900024 7.200012 2 8 2008 "02.08.2008_00:00"
"216" -2.899963 -3.5 6.399963 3 8 2008 "03.08.2008_00:00"
"217" -3 0 3 4 8 2008 "04.08.2008_00:00"
"218" 0 -1.299988 1.299988 5 8 2008 "05.08.2008_00:00"
"219" -0.799988 -6.200012 7 6 8 2008 "06.08.2008_00:00"
"220" -2.699951 0 2.699951 7 8 2008 "07.08.2008_00:00"
"221" -2.400024 0 2.400024 8 8 2008 "08.08.2008_00:00"
"222" -1.099976 -2.099976 3.199952 9 8 2008 "09.08.2008_00:00"
"223" 0 -3.400024 3.400024 10 8 2008 "10.08.2008_00:00"
"224" -3.800049 -0.799988 4.600037 11 8 2008 "11.08.2008_00:00"
"225" -2.799988 0 2.799988 12 8 2008 "12.08.2008_00:00"
"226" -0.700012 0 0.700012 13 8 2008 "13.08.2008_00:00"
"227" -1.099976 -3.699951 4.799927 14 8 2008 "14.08.2008_00:00"
"228" -2.399963 -1.799988 4.199951 15 8 2008 "15.08.2008_00:00"
"229" -1.700012 -1.700012 3.400024 16 8 2008 "16.08.2008_00:00"
"230" -0.5 -0.299988 0.799988 17 8 2008 "17.08.2008_00:00"
"231" 0 0 0 18 8 2008 "18.08.2008_00:00"
"232" -5.199951 0 5.199951 19 8 2008 "19.08.2008_00:00"
"233" -1.800049 -1.199951 3 20 8 2008 "20.08.2008_00:00"
"234" -1.099976 -4.700012 5.799988 21 8 2008 "21.08.2008_00:00"
"235" -3.199951 -4.5 7.699951 22 8 2008 "22.08.2008_00:00"
"236" -1.299988 0 1.299988 23 8 2008 "23.08.2008_00:00"
"237" -0.700012 -4.300049 5.000061 24 8 2008 "24.08.2008_00:00"
